country,compared,bin
AFG,AGO,4
AFG,ALB,3
AFG,AND,5
AFG,ARE,4
AFG,ARG,5
AFG,ARM,4
AFG,AUS,3
AFG,AUT,3
AFG,AZE,5
AFG,BEL,5
AFG,BGD,2
AFG,BGR,4
AFG,BHS,5
AFG,BIH,5
AFG,BLR,0
AFG,BOL,5
AFG,BRA,5
AFG,BRN,4
AFG,CAN,3
AFG,CHE,4
AFG,CHL,5
AFG,CHN,3
AFG,COL,5
AFG,CRI,4
AFG,CYP,3
AFG,CZE,4
AFG,DEU,3
AFG,DNK,4
AFG,DOM,5
AFG,DZA,4
AFG,ECU,5
AFG,EGY,3
AFG,ESP,4
AFG,EST,2
AFG,FIN,4
AFG,FRA,5
AFG,GBR,3
AFG,GEO,1
AFG,GRC,4
AFG,GTM,5
AFG,HKG,2
AFG,HND,5
AFG,HRV,4
AFG,HUN,5
AFG,IDN,3
AFG,IMN,5
AFG,IND,3
AFG,IRL,3
AFG,IRN,4
AFG,IRQ,4
AFG,ISL,3
AFG,ISR,4
AFG,ITA,4
AFG,JAM,5
AFG,JOR,5
AFG,JPN,5
AFG,KAZ,2
AFG,KEN,4
AFG,KGZ,3
AFG,KHM,5
AFG,KOR,4
AFG,KWT,3
AFG,LBN,4
AFG,LKA,2
AFG,LTU,4
AFG,LUX,3
AFG,LVA,1
AFG,MAR,5
AFG,MDA,1
AFG,MEX,4
AFG,MKD,3
AFG,MMR,5
AFG,MNE,5
AFG,MNG,5
AFG,MUS,4
AFG,MYS,3
AFG,NCL,5
AFG,NGA,5
AFG,NIC,4
AFG,NLD,3
AFG,NOR,4
AFG,NPL,4
AFG,NZL,3
AFG,OMN,5
AFG,PAK,4
AFG,PAN,5
AFG,PER,5
AFG,PHL,4
AFG,POL,2
AFG,PRI,4
AFG,PRT,4
AFG,PRY,3
AFG,PSE,5
AFG,PYF,5
AFG,QAT,2
AFG,ROU,2
AFG,RUS,1
AFG,SAU,4
AFG,SLV,5
AFG,SRB,3
AFG,SVK,4
AFG,SVN,1
AFG,SWE,3
AFG,SYR,4
AFG,THA,3
AFG,TTO,4
AFG,TUN,2
AFG,TUR,5
AFG,TWN,3
AFG,UKR,1
AFG,URY,5
AFG,USA,3
AFG,UZB,5
AFG,VEN,5
AFG,VNM,3
AFG,ZAF,4
AGO,AFG,4
AGO,ALB,5
AGO,AND,5
AGO,ARE,5
AGO,ARG,5
AGO,ARM,5
AGO,AUS,5
AGO,AUT,5
AGO,AZE,5
AGO,BEL,5
AGO,BGD,2
AGO,BGR,4
AGO,BHS,4
AGO,BIH,5
