i,from,to,coop,freq
0,Afghanistan,Albania,-1.88983050847,59.0
1,Afghanistan,Algeria,-0.952,25.0
2,Afghanistan,Angola,1.76666666667,3.0
3,Afghanistan,Argentina,-1.4875,8.0
4,Afghanistan,Armenia,1.17586206897,29.0
5,Afghanistan,Australia,-1.3709001233,1622.0
6,Afghanistan,Austria,2.92291666667,48.0
7,Afghanistan,Azerbaijan,3.71584158416,202.0
8,Afghanistan,Bangladesh,-1.024,200.0
9,Afghanistan,Belarus,1.9,1.0
10,Afghanistan,Belgium,2.42038834951,103.0
11,Afghanistan,Bosnia and Herzegovina,1.17,20.0
12,Afghanistan,Brazil,2.98,5.0
13,Afghanistan,Bulgaria,3.17142857143,119.0
14,Afghanistan,Cambodia,0.566666666667,12.0
15,Afghanistan,Canada,-1.3544834308,1026.0
16,Afghanistan,Chile,1.54545454545,11.0
17,Afghanistan,China,1.85361344538,1785.0
18,Afghanistan,Colombia,-3.75,24.0
19,Afghanistan,Croatia,4.02601626016,123.0
20,Afghanistan,Cuba,-0.175409836066,61.0
21,Afghanistan,Cyprus,3.75,6.0
22,Afghanistan,Czech Republic,1.93908045977,174.0
23,Afghanistan,Democratic Republic of the Congo,-8.35,4.0
24,Afghanistan,Denmark,0.313718411552,277.0
25,Afghanistan,Egypt,1.59375,128.0
26,Afghanistan,Ethiopia,1.5,8.0
27,Afghanistan,France,-0.599624261943,1863.0
28,Afghanistan,Georgia,2.80170454545,176.0
29,Afghanistan,Germany,0.695028190671,1951.0
30,Afghanistan,Greece,2.37142857143,56.0
31,Afghanistan,Holy See,-1.30526315789,19.0
32,Afghanistan,Hong Kong,-9.5,2.0
33,Afghanistan,Hungary,1.78113207547,53.0
34,Afghanistan,India,1.04729922835,3499.0
35,Afghanistan,Indonesia,1.22518518519,135.0
36,Afghanistan,Iran,1.51314824515,5727.0
37,Afghanistan,Iraq,0.438205980066,301.0
38,Afghanistan,Ireland,-1.11142857143,35.0
39,Afghanistan,Israel,-0.760115606936,173.0
40,Afghanistan,Italy,-0.338340336134,952.0
41,Afghanistan,Japan,1.74590802806,1283.0
42,Afghanistan,Jordan,1.46770833333,96.0
43,Afghanistan,Kazakhstan,1.67572254335,173.0
44,Afghanistan,Kenya,-3.36666666667,15.0
45,Afghanistan,Kosovo,1.59,30.0
46,Afghanistan,Kuwait,2.24363636364,55.0
47,Afghanistan,Kyrgyzstan,2.10136363636,220.0
48,Afghanistan,Latvia,2.49827586207,58.0
49,Afghanistan,Lebanon,-3.37327586207,116.0
50,Afghanistan,Libya,-0.0473684210526,19.0
51,Afghanistan,Lithuania,2.68131868132,91.0
52,Afghanistan,Malaysia,1.83294117647,85.0
53,Afghanistan,Mexico,-0.5,2.0
54,Afghanistan,Morocco,3.01666666667,18.0
55,Afghanistan,Myanmar,2.0625,8.0
56,Afghanistan,Nepal,-0.768421052632,38.0
57,Afghanistan,Netherlands,1.22693333333,375.0
58,Afghanistan,New Zealand,1.02071428571,140.0
59,Afghanistan,Nigeria,-2.98983050847,59.0
60,Afghanistan,North Korea,1.5,15.0
61,Afghanistan,Norway,1.35694444444,216.0
62,Afghanistan,West Bank,1.24895833333,96.0
63,Afghanistan,Pakistan,-1.13310550583,18435.0
64,Afghanistan,Peru,0.2,4.0
65,Afghanistan,Philippines,-0.478571428571,84.0
66,Afghanistan,Poland,-0.325085910653,291.0
67,Afghanistan,Portugal,2.525,24.0
68,Afghanistan,Qatar,2.12494279176,437.0
69,Afghanistan,Romania,1.44666666667,150.0
70,Afghanistan,Russia,1.96354166667,2400.0
71,Afghanistan,Saudi Arabia,2.15460797799,727.0
72,Afghanistan,Serbia,-5.4,4.0
73,Afghanistan,Singapore,0.0555555555556,18.0
74,Afghanistan,Slovakia,1.60194174757,103.0
75,Afghanistan,Somalia,-1.65,22.0
76,Afghanistan,South Africa,-2.70307692308,65.0
77,Afghanistan,South Korea,-1.86930466606,2186.0
78,Afghanistan,Spain,0.731268436578,339.0
79,Afghanistan,Sri Lanka,0.439175257732,97.0
80,Afghanistan,Sudan,0.394915254237,59.0
81,Afghanistan,Sweden,2.06352941176,85.0
82,Afghanistan,Switzerland,0.61511627907,86.0
83,Afghanistan,Syria,-1.73636363636,44.0
84,Afghanistan,Taiwan,-0.378571428571,14.0
85,Afghanistan,Tajikistan,1.43638409602,1333.0
86,Afghanistan,Tanzania,0.6,12.0
87,Afghanistan,Thailand,2.3243902439,41.0
88,Afghanistan,Tunisia,-0.0928571428571,14.0
89,Afghanistan,Turkey,1.11322453573,1777.0
90,Afghanistan,Uganda,0.112,25.0
91,Afghanistan,Ukraine,2.9417721519,79.0
92,Afghanistan,United Arab Emirates,2.08873720137,293.0
93,Afghanistan,United Kingdom,0.0070059625213,4696.0
